Symbol,ADANIPORTS,AIRTEL,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJFINSV,BPCL,COALINDIA,DRREDDY,EICHERMOT,HCLTECH,HDFCLIFE,HEROMOTOCO,HINDALCO,ICICIBANK,INDUSINDBK,INFY,IOC,JSWSTEEL,KOTAKBANK,LT,M&M,NESTLEIND,NTPC,POWERGRID,SBILIFE,SHRIRAMFIN,SUNPHARMA,TATASTEEL,TECHM,TITAN,TRENT,ULTRACEMCO
LT,0.7585927040034465,0.9537507905915497,0.813561194646212,-0.20968080615036847,0.8451646485052321,0.9061038626736544,0.8765951970887218,0.8748963574669324,0.7919290419602242,0.9544785888954636,0.656688004154914,0.5629969910555069,0.926219924187094,0.42768583484557526,0.9448783430448525,-0.42068116863590327,0.6811552818330922,0.5347850186907461,0.9292676100454215,0.1870326279522521,1.0,0.7762596274607948,0.557263668958724,0.8256798036459666,0.7974275463734328,0.9012356362796644,0.8968982404036756,0.8698000491816492,0.7783439201956586,0.5725904918561627,0.9126187657223159,0.9113857609233171,0.7920543962830406
M&M,0.6913351044295852,0.7576638504659199,0.5638280917303661,-0.2999570220523297,0.5965354418542924,0.754699186552512,0.6159989331194462,0.8304489266043448,0.6645421799923553,0.7753754572226274,0.30695468607703613,0.13078681698020278,0.7631885838380271,0.1432216374121779,0.7039146224929248,-0.14643821745805288,0.3102706725570744,0.20560694683888317,0.6503201169860873,-0.09034413130558695,0.7762596274607948,1.0,0.5785767581794498,0.8066520787409186,0.7966815513374637,0.740960959948475,0.6422518521264657,0.6824706043024155,0.6970168551939666,0.30211945317063976,0.6613796835165415,0.588169421945283,0.4784991381544625
NESTLEIND,0.7110552741692993,0.5118783250674851,0.5196559549400374,0.20464973629021574,0.5920655465335481,0.6425717084215977,0.6478460892107258,0.690916294237916,0.6128479859617616,0.5003180600162169,0.38791681847515136,0.1781463876017529,0.6914708076450481,0.36575100015050144,0.47397841617973707,0.34987439170646895,0.3887629121034088,0.29048151081038764,0.48964242931044794,0.4000622539660265,0.557263668958724,0.5785767581794498,1.0,0.6447821530787268,0.7509665703714749,0.6202675684355933,0.5293117225009094,0.5106494226585352,0.7197504362822766,0.6506113645743689,0.46067376935037624,0.6447431847242233,0.5000147639216067
NTPC,0.8341600712519304,0.8360591803932489,0.7955431027645579,-0.2396360929093897,0.6639914410503591,0.7662760257414748,0.7772912269431796,0.961233550739585,0.9050261171923796,0.814294031676227,0.6148101234323806,0.22953193139732384,0.8603057362405702,0.3009792299619309,0.7886995887806134,-0.2242506164133955,0.649910442055893,0.38980913775107023,0.6804280387466691,0.03587294175747478,0.8256798036459666,0.8066520787409186,0.6447821530787268,1.0,0.9274129532839476,0.8902685076652581,0.7852791586359691,0.8332586847966346,0.937503928235807,0.5618999469404182,0.7668380621464304,0.797086019302516,0.7475494240755226
POWERGRID,0.919228941665868,0.7637483839584601,0.7295735226359097,-0.24474719245482895,0.7298487100484807,0.742455494053182,0.7113757201985553,0.9412824688401843,0.7995885778585727,0.7568222511569436,0.5251774682297444,0.11519446874371492,0.8912771969271263,0.17424982432831365,0.7324683211505414,-0.0333640906244756,0.5055586088242024,0.1959943835741109,0.6434883210693901,0.07736997232766848,0.7974275463734328,0.7966815513374637,0.7509665703714749,0.9274129532839476,1.0,0.7966193917971918,0.6995490027712257,0.7364249237193671,0.9031065125547906,0.561610051594155,0.6643095732743193,0.7824507636534019,0.7390630718156805
SBILIFE,0.7183365129779168,0.9350074674976383,0.8793890876680043,-0.04122734015708405,0.7447150395455837,0.9054854948636846,0.9133315180943257,0.8888429275364529,0.9261686606668198,0.895678864855195,0.7716276274571612,0.5662866333412365,0.8786083159945008,0.5643375275933081,0.9177486198403854,-0.3757646358045776,0.8216806060658939,0.643772267414203,0.8458468375893673,0.22276162870926033,0.9012356362796644,0.740960959948475,0.6202675684355933,0.8902685076652581,0.7966193917971918,1.0,0.9381650662838402,0.9325648613144316,0.8905612288112955,0.6967025508339978,0.9299132500904557,0.8921324475818269,0.8204537901167862
SHRIRAMFIN,0.6318348486396962,0.9563124464612413,0.900181695521596,-0.030135908728373302,0.7407593343072069,0.9414540586487293,0.9222221842995469,0.8072176613201432,0.8549785073335557,0.8705810819356006,0.815199630421205,0.6477810502707207,0.860324117774487,0.5943180831424951,0.9338218475420186,-0.4565203872021865,0.8493512086818669,0.6849811377607861,0.89498242752841,0.28480585839282047,0.8968982404036756,0.6422518521264657,0.5293117225009094,0.7852791586359691,0.6995490027712257,0.9381650662838402,1.0,0.9372715941228644,0.7827187340869906,0.7117163519824882,0.9713181899157535,0.8893337004924503,0.826489226951465
SUNPHARMA,0.70045431207879,0.9496351419867145,0.9480260102116248,-0.210303635156014,0.62085434000687,0.899339375419691,0.8491548253847477,0.8390630900189218,0.8809251776143433,0.8280213534678432,0.8720107185190515,0.5031196290357299,0.8364165145782927,0.4106435321907312,0.916250199436999,-0.5129218549648471,0.8255322449634904,0.5622375841286458,0.8434685238800746,0.1412766079576983,0.8698000491816492,0.6824706043024155,0.5106494226585352,0.8332586847966346,0.7364249237193671,0.9325648613144316,0.9372715941228644,1.0,0.8410996090989442,0.7085188548540852,0.9446196396569233,0.8213762991095024,0.8734717799457968
TATASTEEL,0.8393536624321382,0.7973774801534662,0.8289133245246503,-0.10048212301650351,0.6306223890405052,0.7790369438884567,0.7896480018560872,0.9090316085803481,0.9046396116282456,0.7408729136701013,0.7213944630889636,0.2670384443485565,0.8517967214697391,0.3703733043112885,0.7553618856415562,-0.1323477056810621,0.7366678343245674,0.43394941305958235,0.6569240954445623,0.15662936959348445,0.7783439201956586,0.6970168551939666,0.7197504362822766,0.937503928235807,0.9031065125547906,0.8905612288112955,0.7827187340869906,0.8410996090989442,1.0,0.7390906166438522,0.7486358302253728,0.806113002320407,0.8109730519665587
TECHM,0.5983539952981799,0.6230159176220803,0.7777923561171814,0.25785385275723144,0.4635813362378916,0.7076149173430112,0.6950322861723034,0.5782327239858928,0.6599833922912334,0.4880333326809461,0.8070126252037605,0.4694078262908234,0.64220257810489,0.49722126624181295,0.5776602163273188,-0.012108324991340512,0.7683542483037253,0.5775809082662346,0.6005155842770041,0.49239081817308844,0.5725904918561627,0.30211945317063976,0.6506113645743689,0.5618999469404182,0.561610051594155,0.6967025508339978,0.7117163519824882,0.7085188548540852,0.7390906166438522,1.0,0.6384167596345162,0.6937236698218141,0.71359708799477
TITAN,0.6058586917461912,0.9732865482857859,0.877633028561032,-0.09311833952907275,0.7354663141609872,0.9259856060539446,0.9062592803427797,0.8047742857363258,0.8287238318672506,0.903310221106462,0.7966566381450603,0.6548002607761674,0.8544353813570084,0.5583737891565362,0.9477485769721367,-0.5545163227986419,0.8236328581512684,0.6705344471464657,0.9222858491624649,0.20867767091947664,0.9126187657223159,0.6613796835165415,0.46067376935037624,0.7668380621464304,0.6643095732743193,0.9299132500904557,0.9713181899157535,0.9446196396569233,0.7486358302253728,0.6384167596345162,1.0,0.8662109660555415,0.8134915954630995
TRENT,0.7313692450817307,0.8775315430317494,0.8300269732772395,0.017379064834706564,0.8676938536347364,0.8473193007454459,0.9250618288956641,0.833210413300213,0.8347417106163272,0.8887306773351178,0.7288889492724342,0.6387735186906632,0.9073827372459878,0.5859024184725896,0.8852319712858072,-0.31675060276799116,0.7968390075824362,0.6322360992736168,0.8773940650046235,0.38982707950665785,0.9113857609233171,0.588169421945283,0.6447431847242233,0.797086019302516,0.7824507636534019,0.8921324475818269,0.8893337004924503,0.8213762991095024,0.806113002320407,0.6937236698218141,0.8662109660555415,1.0,0.8346923798362484
ULTRACEMCO,0.7178049639041659,0.8217594587410947,0.906900067000262,-0.23092146904728902,0.67454252720235,0.7598982478513172,0.7616592032205266,0.7458551079039916,0.8206118796503328,0.7250426854642312,0.8983240415303861,0.45923081328402043,0.7884500563054245,0.3346765289008447,0.8457957703603988,-0.45305274323992967,0.8281205428803133,0.4210182032033242,0.7645973765833091,0.22687650841566553,0.7920543962830406,0.4784991381544625,0.5000147639216067,0.7475494240755226,0.7390630718156805,0.8204537901167862,0.826489226951465,0.8734717799457968,0.8109730519665587,0.71359708799477,0.8134915954630995,0.8346923798362484,1.0
